time_on_page,pages_viewed,interest_ski,interest_climb,buy
282.0,3.0,0.0,1.0,1.0
223.0,3.0,0.0,1.0,1.0
285.0,3.0,1.0,1.0,1.0
250.0,3.0,0.0,1.0,1.0
271.0,2.0,1.0,1.0,1.0
259.0,2.0,1.0,0.0,1.0
271.0,2.0,1.0,1.0,1.0
217.0,2.0,0.0,1.0,1.0
227.0,3.0,1.0,1.0,1.0
276.0,3.0,1.0,0.0,1.0
439.0,2.0,0.0,1.0,1.0
321.0,3.0,1.0,1.0,1.0
260.0,3.0,1.0,1.0,1.0
256.0,3.0,0.0,1.0,1.0
322.0,3.0,0.0,1.0,1.0
258.0,3.0,1.0,1.0,1.0
260.0,3.0,1.0,1.0,1.0
286.0,3.0,1.0,1.0,1.0
101.0,2.0,0.0,0.0,1.0
317.0,3.0,0.0,0.0,1.0
136.0,3.0,1.0,1.0,1.0
263.0,3.0,0.0,1.0,1.0
196.0,4.0,1.0,1.0,1.0
201.0,3.0,0.0,1.0,1.0
295.0,3.0,0.0,1.0,1.0
173.0,3.0,1.0,1.0,1.0
278.0,4.0,1.0,0.0,1.0
142.0,4.0,1.0,1.0,1.0
221.0,3.0,0.0,1.0,1.0
246.0,3.0,1.0,1.0,1.0
190.0,3.0,1.0,1.0,1.0
239.0,2.0,1.0,1.0,1.0
185.0,4.0,0.0,1.0,1.0
200.0,2.0,1.0,1.0,1.0
283.0,4.0,0.0,1.0,1.0
208.0,3.0,1.0,1.0,1.0
197.0,3.0,0.0,1.0,1.0
253.0,3.0,0.0,1.0,1.0
226.0,3.0,0.0,1.0,1.0
219.0,2.0,1.0,1.0,1.0
339.0,3.0,1.0,1.0,1.0
196.0,4.0,0.0,1.0,1.0
326.0,4.0,0.0,1.0,1.0
269.0,3.0,0.0,1.0,1.0
103.0,2.0,0.0,1.0,1.0
307.0,3.0,0.0,1.0,1.0
349.0,2.0,0.0,1.0,1.0
351.0,3.0,1.0,1.0,1.0
194.0,3.0,0.0,1.0,1.0
190.0,3.0,1.0,1.0,1.0
149.0,3.0,0.0,1.0,0.0
-34.0,2.0,1.0,0.0,0.0
222.0,2.0,0.0,1.0,0.0
223.0,2.0,0.0,1.0,0.0
106.0,2.0,0.0,1.0,0.0
141.0,2.0,0.0,0.0,0.0
104.0,3.0,1.0,1.0,0.0
229.0,2.0,1.0,0.0,0.0
242.0,2.0,1.0,1.0,0.0
218.0,2.0,0.0,0.0,0.0
208.0,2.0,0.0,0.0,0.0
176.0,2.0,0.0,1.0,0.0
237.0,2.0,0.0,0.0,0.0
200.0,3.0,0.0,0.0,0.0
122.0,1.0,0.0,1.0,0.0
95.0,3.0,1.0,0.0,0.0
175.0,2.0,0.0,1.0,0.0
241.0,3.0,1.0,1.0,0.0
151.0,3.0,0.0,0.0,0.0
280.0,2.0,1.0,0.0,0.0
183.0,1.0,0.0,1.0,0.0
210.0,1.0,0.0,1.0,0.0
197.0,2.0,0.0,0.0,0.0
99.0,3.0,0.0,0.0,0.0
62.0,3.0,0.0,1.0,0.0
199.0,2.0,1.0,1.0,0.0
207.0,2.0,1.0,0.0,0.0
194.0,1.0,1.0,1.0,0.0
146.0,2.0,0.0,1.0,0.0
266.0,2.0,1.0,0.0,0.0
134.0,2.0,0.0,0.0,0.0
137.0,2.0,1.0,1.0,0.0
205.0,2.0,0.0,1.0,0.0
226.0,2.0,0.0,0.0,0.0
92.0,2.0,0.0,1.0,0.0
30.0,2.0,1.0,0.0,0.0
279.0,3.0,1.0,1.0,0.0
183.0,2.0,0.0,0.0,0.0
174.0,2.0,0.0,0.0,0.0
70.0,1.0,0.0,1.0,0.0
149.0,2.0,0.0,0.0,0.0
211.0,2.0,0.0,0.0,0.0
172.0,2.0,0.0,0.0,0.0
214.0,1.0,0.0,1.0,0.0
175.0,2.0,0.0,0.0,0.0
285.0,2.0,0.0,1.0,0.0
189.0,2.0,0.0,1.0,0.0
195.0,1.0,0.0,0.0,0.0
177.0,2.0,0.0,1.0,0.0
232.0,2.0,0.0,0.0,0.0
154.0,2.0,0.0,0.0,0.0
96.0,3.0,0.0,1.0,0.0
172.0,3.0,0.0,0.0,0.0
112.0,3.0,0.0,0.0,0.0
143.0,3.0,0.0,0.0,0.0
195.0,2.0,0.0,0.0,0.0
122.0,2.0,1.0,1.0,0.0
197.0,2.0,1.0,0.0,0.0
150.0,2.0,0.0,1.0,0.0
322.0,2.0,1.0,0.0,0.0
169.0,1.0,1.0,0.0,0.0
217.0,2.0,0.0,0.0,0.0
170.0,2.0,0.0,1.0,0.0
85.0,2.0,0.0,1.0,0.0
213.0,2.0,0.0,0.0,0.0
220.0,2.0,0.0,0.0,0.0
232.0,1.0,0.0,1.0,0.0
239.0,1.0,1.0,0.0,0.0
116.0,2.0,0.0,1.0,0.0
291.0,2.0,1.0,1.0,0.0
208.0,2.0,0.0,1.0,0.0
239.0,1.0,0.0,1.0,0.0
148.0,2.0,0.0,0.0,0.0
75.0,2.0,0.0,1.0,0.0
230.0,1.0,0.0,0.0,0.0
215.0,1.0,0.0,0.0,0.0
156.0,2.0,0.0,0.0,0.0
201.0,2.0,0.0,0.0,0.0
65.0,2.0,0.0,0.0,0.0
165.0,2.0,0.0,0.0,0.0
136.0,1.0,0.0,0.0,0.0
120.0,2.0,0.0,0.0,0.0
148.0,2.0,1.0,1.0,0.0
164.0,2.0,0.0,1.0,0.0
171.0,2.0,0.0,0.0,0.0
209.0,1.0,0.0,1.0,0.0
219.0,1.0,1.0,0.0,0.0
157.0,2.0,0.0,1.0,0.0
310.0,2.0,1.0,0.0,0.0
174.0,2.0,0.0,0.0,0.0
126.0,1.0,1.0,1.0,0.0
147.0,2.0,0.0,0.0,0.0
189.0,2.0,0.0,0.0,0.0
145.0,1.0,1.0,0.0,0.0
192.0,2.0,0.0,0.0,0.0
124.0,2.0,1.0,0.0,0.0
149.0,2.0,1.0,0.0,0.0
80.0,2.0,1.0,1.0,0.0
155.0,2.0,1.0,0.0,0.0
109.0,2.0,0.0,1.0,0.0
166.0,2.0,0.0,1.0,0.0
222.0,3.0,1.0,0.0,0.0
218.0,2.0,0.0,0.0,0.0
272.0,2.0,1.0,0.0,0.0
184.0,2.0,1.0,1.0,0.0
85.0,2.0,0.0,0.0,0.0
91.0,1.0,0.0,0.0,0.0
139.0,2.0,0.0,0.0,0.0
130.0,2.0,1.0,1.0,0.0
119.0,2.0,1.0,1.0,0.0
234.0,2.0,1.0,0.0,0.0
139.0,2.0,1.0,1.0,0.0
148.0,2.0,0.0,0.0,0.0
150.0,2.0,0.0,1.0,0.0
183.0,2.0,0.0,1.0,0.0
178.0,1.0,0.0,1.0,0.0
268.0,2.0,0.0,0.0,0.0
171.0,2.0,1.0,1.0,0.0
178.0,1.0,1.0,0.0,0.0
261.0,2.0,0.0,1.0,0.0
149.0,2.0,1.0,1.0,0.0
238.0,3.0,1.0,0.0,0.0
200.0,2.0,1.0,1.0,0.0
208.0,2.0,0.0,0.0,0.0
222.0,2.0,1.0,0.0,0.0
147.0,2.0,1.0,1.0,0.0
202.0,2.0,0.0,0.0,0.0
199.0,3.0,1.0,0.0,0.0
119.0,2.0,0.0,0.0,0.0
116.0,2.0,0.0,1.0,0.0
196.0,1.0,0.0,0.0,0.0
270.0,1.0,0.0,1.0,0.0
142.0,3.0,1.0,0.0,0.0
142.0,2.0,1.0,0.0,0.0
143.0,2.0,1.0,0.0,0.0
165.0,2.0,0.0,1.0,0.0
163.0,1.0,1.0,0.0,0.0
54.0,2.0,1.0,0.0,0.0
219.0,1.0,1.0,0.0,0.0
192.0,2.0,0.0,0.0,0.0
242.0,2.0,0.0,0.0,0.0
113.0,2.0,0.0,0.0,0.0
95.0,1.0,0.0,0.0,0.0
120.0,3.0,0.0,0.0,0.0
159.0,2.0,1.0,1.0,0.0
117.0,1.0,0.0,0.0,0.0
179.0,2.0,0.0,0.0,0.0
266.0,2.0,0.0,1.0,0.0
203.0,3.0,0.0,0.0,0.0
179.0,3.0,0.0,0.0,0.0
403.0,2.0,0.0,1.0,0.0
200.0,2.0,0.0,1.0,0.0
223.0,2.0,0.0,0.0,0.0
146.0,2.0,1.0,1.0,0.0
135.0,2.0,1.0,0.0,0.0
197.0,2.0,0.0,0.0,0.0
159.0,2.0,0.0,1.0,0.0
149.0,3.0,1.0,0.0,0.0
244.0,1.0,1.0,0.0,0.0
109.0,1.0,1.0,1.0,0.0
46.0,1.0,1.0,0.0,0.0
